1,Carimbo de data/hora,EMPRESA,MOTIVOS,,,,,,
277,27/03/2024 16:28:56,Ambev,"A empresa mais hipocrita do planeta, cultura de não pegar atalhos onde todos os líderes os fazem, uma empresa de vendas que vive de reuniões, dizem que valorizam seus funcionários porém ao escutar, ou ignoram ou demitem por discordar e logo quando vem alguém de fora dizendo o mesmo acatam. Ou seja agem completamente diferente do que pregam, sem falar no assédio moral dos líderes o tempo todos, cargas horárias abusivas, ligações fora do horário de trabalho, e não atende não pra ver kkkk vai pro RH pois seu líder alega você está desmotivado",,,,,,
278,27/03/2024 11:29:17,Ambev - Zé Delivery,"Entrei saudável e sai com burnout e depressão. Ambiente tóxico disfarçado de amigável, salários baixos, liderança despreparada, excesso de demanda sem compensação por horas extras, desvio de função como ""desafio"", favorecimento de amigos da diretoria em promoções em detrimento da competência. Lugar horrível.",,,,,,
279,25/03/2024 18:38:55,Ambev (Bees Bank),"Salário abaixo e não sabem o significado da palavra ""aumento"". Todo dia é uma luta pra trabalhar nessa pocilga.",,,,,,
280,27/03/2024 01:00:44,AmBev (unidade Sapucaia do Sul),"Empresa de politicagem que só progride quem puxa saco da Gerente Fabril ou de setor, além de colocar estagiários técnicos e superiores em funções não previstas no contrato (também iludem eles com vagas que não existem)",,,,,,
281,27/03/2024 11:00:58,AMBEV BEES,"Não estão nem aí pra você. Seu salário vai ser aquilo e pronto, falsidade pra caralho, os coordenadores são TODOS despreparados e servem apenas de capacho da diretoria, não te ajudam em nada mas amam cobrar e humilhar. tudo que dizem no complience na prática é feito totalmente diferente .programadores, confiem , a saúde mental de vocês não valem essa empresa .",,,,,,
282,18/03/2024 11:45:31,Ambev e Ambectech,"zero preocupação com pessoas, entregas a qualquer custo e falta de transparência",,,,,,
283,27/03/2024 16:13:40,AMBEV Jaguariúna,Assédio moral,,,,,,
284,18/03/2024 10:52:24,Ambev Tech,Desrespeito com a história do colaborador. Mudança de estrutura sem participação do colaborador. Liderança tóxica que acha que faz o que quer com o colaborador. Completa falta de celebração por resultados atingidos. Incoerência entre os critérios de promoção e o que realmente é considerado (amizades e conluios),,,,,,
285,18/03/2024 12:01:48,Ambev Tech,Layoffs sem lógica,,,,,,
286,18/03/2024 16:18:29,Ambev Tech,"Panela, pessoas sem caráter, invejosas e náo sabem o que estão fazendo. Eu fui demitido por causa de mentiras de gente que se sentiu inciumada com minha expertise",,,,,,
287,18/03/2024 16:28:38,Ambev Tech,O que vale não é o valor que entrega mas a politicagem.,,,,,,
288,19/03/2024 07:52:00,Ambev Tech,Muita politicagem e puxada de tapete.,,,,,,
289,27/03/2024 08:43:37,Ambev tech,"Eu tenho o desprazer de trabalhar com a taisa Fernandes do time de dados, a garota é super arrogante e uma cobra. Estou sendo afastada por burnout por causa das picuinhas que essa garota faz",,,,,,
290,27/03/2024 13:06:36,Ambev Tech,"Gestora com microgerenciamento, favorecendo quem fazia hora-extra (sem necessidade) e ameaça de demissão quem tinha pensamento contrário ao dela.",,,,,,
291,27/03/2024 15:48:28,Ambev tech,Processo seletivo mais mal estruturado que eu já vi. Passei depois de muita insistência e me arrependi horrores. Exigiram um zilhão de requisitos e quando fui trabalhar o time não sabia metade daquilo. Um monte de incompetentes,,,,,,
292,18/03/2024 13:40:19,AmBev/BEES,Sem hora para trabalhar ou atender demandas.,,,,,,
293,18/03/2024 12:00:14,Ambevtech,"Totalmente desestruturada. Só promovem as pessoas por amizade e nunca por performance. Os trabalhadores são exigidos de forma absurda, mas logo em seguida o projeto é engavetado. Ambiente super tóxico e preconceituoso. Não adianta abrir ouvidoria porque no final é engavetado. Muita gente competente foi demita sem nenhum feedback apropriado, enquanto pessoas com várias ouvidorias de assédio moral nas costas permaneceram.",,,,,,
294,27/03/2024 08:28:30,Ambevtech,"- Faixada de GPTW - já foi boa, durante processo de compra. Depois que entrou os almofadinhas da Ambev, virou INFERNO (Gestão imatura e só por amizades) Mais politicagem que em Brasilia",,,,,,
295,26/03/2024 22:33:54,AmbevTech,"A empresa só mantém os colaboradores que puxa o saco da liderança. Em operações fizeram o corte, permanecendo somente os favoritos da liderança master, mantendo principalmente os homens que se protegem entre si. Nas demissões não tem o feedbacks, apenas dizem que estão fazendo reestruturação e que não pôde realocar (preferência). Empresa perdeu sua essência e pega sim atalhos, quando fingi nao ver que existe favoritos da liderança.",,,,,,
296,27/03/2024 14:34:27,Amcham Brasil,"Os salários são abaixo da média de mercado. Um analista jr ganha como menor aprendiz e faz o trabalho de um analista sr ou até de coordenador, os benefícios são péssimos, VR nao paga um prato feito, liderança ama microgerenciar, as pessoas são promovidas com base em amizade e em quem puxa mais o saco dos gestores. A carga de trabalho é altíssima. Durante a pandemia, deve ter sido uma das últimas empresas a adotar o modelo home office (inclusive, teve uma reunião com alta gestão na época e o discurso era que o jogo tinha que continuar e que o mercado não podia esperar, pra justificar a não ida pra casa, colocando os funcionários em risco). A empresa não fornece equipamentos corporativos, nem mesmo o computador pra você trabalhar, o ambiente é péssimo e existe muita fofoca entre os funcionários. A diversidade dentro da empresa é mínima, a maioria das pessoas são brancas e ricas que não tem o menor senso de realidade. Unica coisa boa é que gera bastante networking e acaba servindo pra ir pra outras empresas melhores",,,,,,
297,27/03/2024 07:31:00,AMCOM,"Pessoas tóxicas, salário abaixo do mercado, muito cacique para pouco índio (muitos gerentes e pouca gente para botar mão na massa), gerentes extremamente egoístas cada um querendo puxar a sardinha para o seu lado pedindo prioridade gerando sobrecarga de trabalho nos funcionários",,,,,,
298,27/03/2024 09:37:22,AMCOM,"GPTW fake, cheia de gente enconstada e as lideranças são péssimas, não tem a mínima ideia de gestão de pessoas e projeto.",,,,,,
299,27/03/2024 09:41:04,AMcom,"Empresa só é boa de marketing, muitas propagandas nas rede sociais de somos makers isso e aquilo , mas na hora do vamos ver tudo enganação pra tudo tem uma desculpa pra falar que não pode, e ai tem os puxa saco que moram em blumenau e fazem questão de ir no presencial , pra falar que a empresa é mil maravilhas nas redes sociais , mas que mora em outro estado e trabalha remoto fica esquecido jogado la no cliente",,,,,,
300,27/03/2024 09:45:27,Amcom,"Existe duas empresas , a empresa que a CEO posta nas redes sociais que é pra quem mora em bluemenau e vai presencial, e a empresa pra quem mora em outra região e trabalha remoto alocado em algum cliente",,,,,,
301,27/03/2024 09:50:49,Amcom,"Salarios muito abaixo do mercado , ai eles usam a desculpa que o VA+VR deles é alto e isso compensa o salario baixo, até parece que da pra pagar boleto com VA+VR",,,,,,
302,25/03/2024 17:17:05,AMCOM,Pessoas toxicas,,,,,,
303,26/03/2024 23:23:24,Amdocs,"Apenas tecnologia antiga e ultrapassada, alta carga de trabalho (burnout) e salário baixíssimo.",,,,,,
304,20/03/2024 11:51:24,Ame digital,"Ambiente tóxico. CTO extremamente arrogante ao ponto de te mandar ""voltar para a escola"". Pressão por horas extras e sem remuneração",,,,,,
305,27/03/2024 16:10:34,América Futebol Clube,"Departamento de futebol manda e desmanda em todas as áreas, intervindo no que não é a respeito deles. Heads de áreas não formados na área específica",,,,,,
306,25/03/2024 16:49:50,americanas,"Muita dificuldade para ter aumento, VR de 5 reais e bônus inexistente. Hoje sabemos a causa: diretores e donos(Trio 3G) ganancios que roubaram a empresa para enriquecimento próprio as custas dos trabalhadores, fornecedores e do mercado financeiro.",,,,,,
307,27/03/2024 09:32:39,Americanas,"Não cumprem legislação de segurança do trabalho, alvarás vencidos e ninguém faz nada.",,,,,,
308,25/03/2024 18:37:22,Americanas,"Não valoriza os funcionários, não tem oportunidade de crescimento e paga pouco.",,,,,,
309,26/03/2024 23:27:02,Americanas,"Essa daqui só não é pior que fast-food, exploração total do funcionário",,,,,,
310,25/03/2024 16:51:43,Americanas S/A /B2W/DIRECT,"Acúmulo de função, falta estabilidade, pressão por resultado, assédio",,,,,,
311,27/03/2024 01:37:15,Americanas S.A,"Os funcionários são abusados psicologicamente com metas absurdas. A vaga para operador de loja você faz desde operar o caixa até descarregar vários caminhões durante a semana, ficar até tarde arrumando VM de loja, obrigar os clientes a pagar no pix ou baixar o app do AME e cadastrar o cartao de credito e pagar via pix. Metas absurdas com itens diferentes todos os dias. Obrigação de fazer seguros e proteção anti roubo, alternar horário de almoço entre 1 e 2h sem avisar para sair mais tarde. As lojas sem estrutura para comer, um calor infernal",,,,,,
312,18/03/2024 11:13:32,Americanas SA / B2W,"Acúmulo de função, rombo financeiro porém não tenho dinheiro para ofertar uma promoção ou pagar um valor justo de salário para quem acumula função, vale refeição de R$5/DIA e eles não mudam nunca, plano de saúde com coparticipação, liderança totalmente despreparada que não liga para o funcionário e prega toda cultura que a empresa gosta de pregar para fazer o funcionário trabalhar 10x mais por “vestir a camisa”",,,,,,
313,25/03/2024 19:08:35,Americas Health,"Empresa horrível, salários baixos e ambiente tóxico",,,,,,
314,27/03/2024 11:00:21,Américas Oftalmocenter (AOC),"Falta transparência com os funcionários , Funcionários não são reconhecidos pelo seu trabalho e sim para quem puxa-saco da gestão , ameaças de demissões disfarçadas de feedbacks , falta de tecnologias e infraestruturas e coloca a culpa no mal funcionamento da clinica e coloca a culpa nos funcionários. Se o gestor não for com a sua cara, esqueça. Fazem o ambiente se torna hostil para o funcionário pedir demissão ou fazer algo para ser mandado embora. O Gestor do RH é um sádico.",,,,,,
315,25/03/2024 19:03:20,Amigo App,A área de TI fica sob a responsabilidade de três patetas incompetentes e que tem o aval do CEO para serem escrotos e abusivo com os devs! O CTO é um bunda mole que sabe de tudo e não se posiciona permitindo demissões constrangedoras e agressão moral na frente de todos!,,,,,,
316,27/03/2024 01:01:38,AMO Internet,"Empresa esquisita, de gente crente que finge gostar do funcionamento e depois descarta",,,,,,
317,25/03/2024 15:19:37,Amplimed,"Empresa completamente perdida, não tinha ponto, então, não tinha como registrar horas extras, machismo, homofobia e muita coisa absurda rola lá dentro.",,,,,,
318,27/03/2024 14:33:15,Amplimed,"Desorganizacao, panelinhas, no meu tempo nem tinha documentacao, pelo visto continua nao tendo e continuam sendo desorganizados.",,,,,,
319,27/03/2024 14:47:51,Amway,São um bando de incompetentes que ficam jogando trabalho uns para os outros e ninguém faz nada. A gestão é burra e os processos são todos falhos.,,,,,,
320,27/03/2024 13:40:54,Anadem,"Chefes assediadores, dono assediador, competição feminina ao extremo, o dono tem diversos processos abafados por assédio sexual e continua se achando imbatível por ser advogado, além de ser amigo pessoal da família Bozo, pagam mal e exigem que você trabalhe igual escravo. Fui vitima de todos os assédios possíveis de diversos gestores.",,,,,,
321,25/03/2024 18:08:56,Anbima - Selic,"Muita politicagem, gestores muito lentos ,pessoa dando problema na equipe e jogando contra há mais de 1 ano e ainda não foi demitida",,,,,,
322,18/03/2024 15:32:41,Anderson Weber,"Eu desejo que um dia você tenha uma empresa com vários colaboradores e que você tenha que lidar com tudo o que está plantando aqui. Parabéns pela iniciativa, sucesso pra você.",,,,,,
323,27/03/2024 14:56:09,Anderson Weber,É claro que a percepção das dificuldades pode nos levar a considerar a reestruturação dos níveis de motivação departamental.,,,,,,
324,27/03/2024 14:56:20,Anderson Weber,"Nunca é demais lembrar o peso e o significado destes problemas, uma vez que o novo modelo estrutural aqui preconizado desafia a capacidade de equalização de alternativas às soluções ortodoxas.",,,,,,
325,27/03/2024 14:57:37,Anderson Weber,É importante questionar o quanto a determinação clara de objetivos não pode mais se dissociar do retorno esperado a longo prazo.,,,,,,
326,27/03/2024 15:00:41,Anderson Weber,"Anderson Weber, o alquimista dos conceitos, destilando a essência do conhecimento em poções mágicas de insight e epifania! Seu laboratório mental é um verdadeiro caldeirão fervilhante de ideias, onde as fórmulas do pensamento se misturam em um balé alquímico de pura genialidade!",,,,,,
327,25/03/2024 18:25:45,Anima educação,"Empresa extremamente mal organizada, vale alimentação não compra um prato de comida, não existe plano de carreira e pagam salario de junior e cobram um senior",,,,,,
328,27/03/2024 12:48:30,Ânima Educação,"Depois que teve reestruturação na VP de Transformação Digital trazendo uma gigantesca panelinha da Vivo, nada foi como o mesmo. É tudo na base do puxa saco e se você fala verdades de má gestão, processos falhos etc. você é mal visto ou até mesmo demitido sem feedbacks prévios e tampouco com motivos plausíveis.",,,,,,
329,18/03/2024 20:01:49,Ânima Educação,De educação só o nome,,,,,,
330,25/03/2024 12:24:33,Ânima Educação,Só sobe de cargo quem é puxa saco e quem não aceita é demitido,,,,,,
331,27/03/2024 16:14:24,Animalia empreendimentos e participações SA,"Empresa com gestão de rh péssima, deixando seus colaboradores a própria sorte! Diretoria fraca, sem competência técnica. Slogan que não remete em nada a política da empresa",,,,,,
332,25/03/2024 17:45:31,ANIP,"Gestão incompetente, assédio moral normalizado",,,,,,
333,27/03/2024 10:57:43,AP Winner,"A Diretoria é prepotente. Ambiente totalmente toxico. Os funcionários são explorados até o limite. Apesar da empresa ostentar o selo de GPTW, o ambiente não refletem condiz com o selo.",,,,,,
334,18/03/2024 13:57:06,APAS - associação paulista de supermercados,"Pressão, perseguição, assédio moral, não tem visibilidade de crescimento, salários baixos",,,,,,
335,27/03/2024 14:17:56,Apetit,"Lugar abusivo, relação entre setores até parece que é concorrente sempre um setor brigando com outro, no go live da implantação do novo ERP foram abertos mais de 500 chamados e a filha da dona disse que dava pra fechar eles em um dia",,,,,,
336,25/03/2024 19:09:17,Apple Developer Academy - IFCE,O professor responsável (começa com H) assedia moralmente todos os mentores fora o mentor tumtumtum debocha e humilha os códigos dos bolsistas. P.S. os danilos sabem da situação mas acobertam por amizade.,,,,,,
337,18/03/2024 12:41:59,Appmax,"Empresa em que o CEO está preocupado com demandas de estagiário e o que esta escrito em tarefas do time de desenvolvimento e não em ser o CEO da empresa, imaturidade rena nesse ser",,,,,,
338,18/03/2024 11:41:26,Appsflyer,"Gestão incompetente e falta de plano de carreira, além de panelinhas",,,,,,
339,27/03/2024 07:45:31,Aprova Total,"Tudo começa pelo próprio fundador. Uma pessoa de caráter duvidoso, não possui palavras, fantasia e cria situações para gerar um ambiente instável, não é resoluto, pelo contrário, só sabe jogar “bomba” e faz gestão do medo. Uma pessoa totalmente autoritária, egocêntrica e ardilosa. Um ser que teve muita sorte de construir um negócio rentável, mas que não valoriza pessoas que dão o suor no dia-a-dia. Para piorar, a empresa foi vendida para a Wiser Educação e nesse processo a sensação é total desalinhamento de prioridades. Possui um modelo de governança autoritário e sem qualquer transparência ou direcionamento.",,,,,,
340,27/03/2024 11:16:26,Apsen Farmacêutica,Dona da Empresa faz palestra anti machista e a área que ela cuida tem tanto machista e opressor com as mulheres que dá até dó,,,,,,
341,18/03/2024 20:55:42,Arbo,"Desorganização, destroem o espirito do funcionario, ambos os donos, marlon e manoel são as pessoas mais canalhas com quem eu tive o desprazer de trabalhar.",,,,,,
342,25/03/2024 18:50:07,Arcadis,"Pagam muito mal, liderança gosta de microgerenciar. Rotatividade altíssima pq não promovem ninguém, basicamente é um monte de júnior fazendo trabalho de pleno, sênior e supervisor. Benefícios defasados e descontos absurdos de VR/VA e coparticipação do plano de saúde no salário, horas extras (não remuneradas) excessivas.",,,,,,
343,26/03/2024 22:36:04,Arcadis,"Péssima liderança e diretoria. Zero perspectiva de crescimento, Jr com função de senior e supervisor. Alta rotatividade de pessoas e conseguentemente, zero documentação e desenvolvimento de produto. Faz o L de low code!!!.",,,,,,
344,26/03/2024 22:46:45,Arcadis,"A péssima liderança está afundando o moral da equipe, enquanto a diretoria incompetente está perdida nas decisões, e a má gestão de pessoas está minando nossa produtividade.",,,,,,
345,26/03/2024 22:46:56,Arcadis,"A baixa remuneração não condiz com nosso esforço, a falta de documentação está travando nosso progresso, e estamos todos à beira do burnout devido ao excesso de trabalho.",,,,,,
346,26/03/2024 22:47:06,Arcadis,"A alta rotatividade mostra a falta de cuidado com os funcionários, não há perspectiva de crescimento profissional nesta empresa, e divulgam uma carreira em ""Y"", mas é só favorecimento interno.",,,,,,
347,26/03/2024 22:47:16,Arcadis,"O retrocesso tecnológico está nos deixando para trás, o time está esgotado com os grandes volumes de banco de horas, e não há reconhecimento pelo nosso empenho diário.",,,,,,
348,26/03/2024 22:47:26,Arcadis,"Sob a péssima liderança, perdemos o rumo e a motivação, a diretoria incompetente não compreende as necessidades da equipe, e a gestão de pessoas falha está causando descontentamento generalizado.",,,,,,
349,26/03/2024 22:47:37,Arcadis,"Nossa remuneração é uma piada, não reflete nosso trabalho árduo, a falta de documentação está nos impedindo de avançar com os projetos, e o burnout é palpável em toda a equipe, resultado de sobrecarga constante.",,,,,,
350,26/03/2024 22:47:47,Arcadis,"A rotatividade de funcionários é alta, evidência clara de um ambiente tóxico, a falta de perspectiva de crescimento nos deixa desmotivados e estagnados, e a carreira em ""Y"" é uma ilusão, só os puxa-sacos são promovidos.",,,,,,
351,26/03/2024 22:48:04,Arcadis,"O retrocesso tecnológico nos deixa defasados e menos competitivos, os grandes volumes de banco de horas sugam nossa energia e vida pessoal, e o esforço da equipe passa despercebido, não há reconhecimento algum.",,,,,,
352,27/03/2024 11:30:41,Arco,"Empresa com vies politico bem definido e não aceita outra visões, se voce não é comunista nem tenta entrar por que será demitido",,,,,,
353,18/03/2024 11:27:17,Arco educação,"Gestão incoerente, pressão nas entregas, baixo sárlario",,,,,,
354,27/03/2024 13:52:06,Arco Educação,"Excesso de carga horário, gestão intransigente.",,,,,,
355,25/03/2024 16:27:59,Arco Educação,"Gestão fraca que não aguenta críticas, cobranças exarcebadas após esgotamento mental de funcionários e demissão após volta de atestado. Não se preocupam com o bem estar do funcionário apenas com metas a serem batidas.",,,,,,
356,27/03/2024 11:28:46,Arcotech,Liderança toxica e muito topdown,,,,,,
357,19/03/2024 12:44:20,Arctouch,"Empresa com graves falhas de liderança, pessoas tentando te passar a perna e dedos sendo apontados o tempo inteiro. Em vez de trabalharem a solução para os problemas, estão mais preocupados em encontrar um culpado.",,,,,,
358,18/03/2024 22:54:27,Arezzo,"Criam ambiente de competitividade tóxica entre os funcionários ao invés de ambiente de colaboração. As lideranças não sabem definir metas nem de longo nem de curto prazo, cobrando dos colaboradores que entreguem A pela manhã, ao meio dia mudando para B e ao fim do dia reclamando porquê o funcionário não realizou A porque “nunca” haviam pedido B. Se for analisar até mesmo o comportamento e as decisões do dono da empresa o colaborador se vê numa versão sem graça de The Office.",,,,,,
359,27/03/2024 16:07:50,Arezzo,"Gestão centralizada, CEO que pratica assédio moral, inexistência de plano (real) de carreira, pagam de empresa legal, divertida e inovador, mas a gestão é moldada em padrões antigos e desmoralizantes, mantendo um cultura antiga de empresa familiar do ramo calçadista gaúcho",,,,,,
360,27/03/2024 11:08:15,Argotechno,"Gestores que deveriam estar afastados por invalidez trabalhando, Salários baixos, Gestora administrativa extremamente corrupta Toxica ao ponto de mandar e-mail para os clientes falando para não contratar os funcionários, sobe até mesmo ameaças de processo.",,,,,,
361,27/03/2024 11:11:41,Argotechno,"Atualizar ferramentas? pra que vivemos em 2003, onde todas as aplicações da empresa são inseguras, e os estagiários responsáveis pela maior parte do trabalho, eles trabalham 13h por dia, e o RH não se preocupa com as denuncias de assedio, cobram uma fortuna dos clientes pelas horas dos estagiários e repassam a bagatela de R$10,00 a hora.",,,,,,
362,27/03/2024 11:17:15,Argotechno,"Regime de contratação CLT ou PJ ? Não aqui temos o CLT Flex, onde te pagamos um valor baixo na carteira e um simbólico como ""DIREITO AUTORAL, não existe regra para aumentos salariais, só de cargo mesmo, são meses exercendo uma função para ""Testar"" você, assim quando dão o aumento, você já está próximo de um outro aumento de trabalho.",,,,,,
363,27/03/2024 12:09:18,Argotechno,"Empresa totalmente desorganizada, gerentes ganhando salário de analistas e vivendo apenas de promessas, salário extremamente baixo pagando por Hora trabalhada apenas para não precisar pagar hora extra.",,,,,,
364,27/03/2024 11:31:56,Argotechno Engenharia,"Empresa de consultoria que nao paga de acordo com a CLT, nepotismo em cargo alto, cultura toxica, rh desonesto",,,,,,
365,18/03/2024 21:58:49,Arke,"Liderança tóxica, que vê com maus olhos o empregado tirar folgas ou não trabalhar mais que o contratado. Tecnologias defasadas e pouco ou nenhum esforço para tornar o ambiente técnico mais atrativo/moderno. Gestão muito amadora, ex: pix saindo direto da conta do manager para os subordinados. Atraso de pagamentos. Empregados são estimulados e forçados a trabalhar em mais de um projetos ao mesmo tempo, sempre vendendo aos clientes dedicação exclusiva. Postura extremamente não profissional em 1:1s e feedbacks, sejam eles positivos ou construtivos. Consecutivas falas preconceituosas, ofensivas e/ou vexaminosas de pares e lideres.",,,,,,
366,18/03/2024 14:13:05,Arquivei,"Total falta de transparência, guerra de egos, positividade tóxica, total ausência de feedbacks, falta de perspectiva de carreira e te mandam embora do nada alegando que não foi por performance, mas por que sua área deixou de existir da noite pro dia.",,,,,,
367,27/03/2024 14:11:57,Arquivei,"Péssima alta gestão, primeira grande dificuldade que surgiu já fizeram uma série de layoffs. Empresa com falsa ""inclusão"", finge a preocupação com pessoas, mas adotam o microgerenciamento sem pensar nos efeitos colaterais. Alta gestão de tecnologia entende 0 de tecnologia, decisões feitas no puro amadorismo",,,,,,
368,27/03/2024 12:27:42,Arthur Casas,"Todos que trabalham lá são PJ, mas têm que responder como CLT (com exceção do jurídico)",,,,,,
369,27/03/2024 12:28:33,Arthur Casas,Não pagam direitos trabalhistas,,,,,,
370,27/03/2024 12:32:04,Asa norte ambev,"Lideres sem capacidade para assumirem cargos de liderança, salario pessimo e ainda por cima descontam ticket alimentação do salario do trabalhador",,,,,,
371,18/03/2024 09:16:06,Asaas,"Grosseria, mal educados com os funcionários",,,,,,
372,26/03/2024 23:16:17,asdaasa,das,,,,,,
373,23/03/2024 09:59:41,Assai,"Muito cacique pra pouco índio, e nas lojas há a exploração da força de trabalho com processo não muito claros por parte do RH que não é colaborativo além de processos não claros na sede, com frequentes assédios morais",,,,,,
374,27/03/2024 00:33:28,Assaí Atacadista,"Chefe um arrombado que fica no nosso pé pra bater meta e não ganhamos nada, enquanto ele ganha comissão de tudo",,,,,,
375,27/03/2024 01:36:03,ASSAÍ ATACADISTA,Escravizam os funcionários e pagam uma mixaria,,,,,,
376,27/03/2024 08:51:35,Assessoria de recursos humanos Gi Grup,"Assédio moral, você é humilhado, maltratado a todo tempo, cultura da empresa é péssima, pior lugar para se trabalhar.",,,,,,
377,26/03/2024 23:28:25,Associação Comunitária de São Mateus,"Programa de hospedagem social é gerenciado por uma mulher que usa de sua posição para provocar medo nos funcionários, não entende de aspectos organizacionais básicos e não oferece nenhum apoio ou treinamento para a equipe. Me lembro também que um dos líderes do programa gritou pelos corredores do escritório com as pessoas e não sofreu consequências por isso.",,,,,,
378,27/03/2024 14:01:54,Associação dos advogados de são Paulo,"Nada muda la, apesar da diretoria ser renovada todo ano. Algumas pessoas la ganham +20 mil reais por mês e não sabem converter um PDF. Salários baixos",,,,,,
379,27/03/2024 15:34:43,Astra Industria e Comércio,"É uma empresa que sabe disfarçar muito bem com o Selo GPTW! Contratam diversos aprendizes, pagando uma mixaria para fazem o que bem entender com eles, fazendo com que carreguem caixas e outros absurdos. Além, da maioria dos gestores/coordenadores são engenheiros. No setor de Marketing, por exemplo, tinha o Guilherme, ele era Engenheiro Elétrico, com certeza, ganhava muito para estar e ser um baita de um cara toxico! Contratam as pessoas para serem auxiliar administrativo, exercendo funções muito diferentes do que um auxiliar de administrativo. Só publicam nas redes as coisas da bonitas da empresa, mas por que não publicam sobre os computadores de tubos que as meninas acabam usando, com aquela tela minúscula? Ou o parto que é para conseguir aprovar a compra de uma imagem para o setor de comunicações usarem. Essa empresa realmente é uma escola, como dizem, ela sim te ensina a ser muito flexível no mercado e buscar coisas melhores, pois chega a ser humilhante. Continuam ai, dando brindes para os colaboradores para conseguirem manter um selo para a dona postar em suas redes sociais e continuem perdendo bons colaboradores que poderiam realmente fazer a diferença.",,,,,,
380,27/03/2024 15:29:57,asus,jovem aprendiz administrativo tem que passar aspirador,,,,,,
381,27/03/2024 09:45:14,ATA HUB,"Empresa contrata PJ e cobra fazer horário. Paga mal e CEO completamente perdida e não sabe liderar, todos que passam por lá odeiam ela.",,,,,,
382,26/03/2024 23:26:31,Atacadao,"Muita exploração de trabalho, liderança totalmente fraca e incompetente",,,,,,
383,25/03/2024 20:04:34,Atacadão,Machista,,,,,,
384,27/03/2024 10:06:00,Atacadão,Tem horário pra ir beber água,,,,,,
385,27/03/2024 15:01:04,Atacadao S.A,"Empresa grande, bem estruturada fisicamente, mas com gestores completamente incompetentes, voce é contratado pra t.i e puxa carrinho, repoe mercadoria e na hora de tentar uma promoção vc precisa ir mais pra loja filial 234 uma bosta!!!",,,,,,
386,27/03/2024 15:02:29,Atacadao S.A,"Empresa nao tem cuidado nenhum com funcionario, uma ma gestão dos infernos, abuso psicologico, te obriga e te fode ate pedir conta, SOMENTE INCOMPETENTE na empresa.",,,,,,
387,27/03/2024 15:04:29,Atacadão S.A,"Setor de cartões? JESUS um dos piores, cobram metas absurdas, te cobram de maneira abusiva, no começo era cartão e alguns seguros, embutem novos produtos, exemplo credito pessoal onde toda empresa que vende credito paga comissão ao funcionario, la simplesmente enfiaram no setor de cartoes e o colaborador que se foda pra vender e bater meta pela mesa merda de salario, ja teve a maquininha da a-pag com um sistema bosta mal desenvolvido que so da problema.",,,,,,
388,27/03/2024 15:06:31,Atacadão S.A,"Vaga de informatica, exigem faculdade, te contratam na carteira de trabalho como auxiliar de escritorio, voce tem que subir pra bater palete, subir pra pendurar cartaz, puxar carrinhos, operar caixa, fazer levantamento de preços pela loja, fazer hora extra sempre que querem, uma empresa bem bosta!",,,,,,
389,27/03/2024 10:18:05,Atacadão S.A mercado atacadista,"Desvios de função, mal gestão de funcionários, falso moralismo e ética",,,,,,
390,27/03/2024 13:44:35,Atacadão S.A.,Horas extras adicional noturno não pagos, Gerentes incompetentes e ignorantes,,,,,
391,18/03/2024 09:15:17,Atak Sistemas,"Falta de gestão, gestão distante, morosidade e atraso tecnologico, empresa bonita por fora por dentro péssima gestão de talentos",,,,,,
392,18/03/2024 08:57:25,Atelier carambola (escola de nível infantil),Diretora humilha os funcionários diariamente. Não há espaço para almoçar ou descansar e as refeições são feitas num almoxarifado. Pressão todo dia e trabalho a base do grito.,,,,,,
393,18/03/2024 11:11:11,Atento,"A desorganização junta com líderes sem preparação cria um ambiente de desmotivação, burnout e ansiedade general. Nunca recomendaria para trabalhar como atendente para produto algum se o call center e gerido por Atento.",,,,,,
394,25/03/2024 17:38:10,ATENTO,"Racismo, homofobia e machismo é o dia a dia dessa empresa que trata os funcionários como ratos em gaiolas girando suas rodinhas para fazer a empresa funcionar.",,,,,,
395,26/03/2024 22:14:52,Atento,"Empresa tóxica, os líderes são mal preparados e preguiçosos, não tem oportunidade de crescimento, as vagas na suposta escalada já são direcionadas a uma pessoa específica. Várias ameaças por parte da supervisão e cobranças absurdas.",,,,,,
396,26/03/2024 23:45:20,Atento,"Vi minhas colegas de trabalho sofrerem assédio moral e ninguém se importar. Ambiente muitas vezes desumano. Uma colega sofreu agressão física e quando chegou no trabalho dia seguinte a liderança teve a pachorra de zombar da situação. Ao mesmo tempo é um ambiente onde por uma mixaria a mais o ego das pessoas inflam a troco de nada. Para complementar e finalizar, assim como a maioria das empresas muitas vezes quem está na gestão não tem o devido perfil para assumir tão função. Libertinagem demais, gestores(as) flertando com subordinados em local de trabalho. É dai pra pior :)",,,,,,
397,27/03/2024 10:45:49,Atento,"Empresa abusiva demais! Tem uma gestora de um cliente grande deles ( uma empresa que tem plataformas para anuncios pagos) que a gestora grita, xinga, cobra posicionamento abusivo dos lideres com as equipes pra alcançar Meta. E nem sabem que o suporte é terceirizado.",,,,,,
398,27/03/2024 05:30:20,Atento,"Empresa que faz em diversos setores metas quase inatingiveis, alto nivel de cobrança de resultados, supervisores imaturos e despreparados para cargos de liderança, sem contar a escala 6x1 exaustiva que consome dentro da empresa devido a pressão e cobrança de resultados.",,,,,,
399,27/03/2024 15:39:36,Atento Brasil,Sem ferramenta para trabalhar,,,,,,
